titulo,empresa,fecha,herramientas,descripcion,ubicacion,funciones,jornada,experiencia,tipo_contrato,salario,fecha_scrapeo,url,portal
EXPERTO MQ SERIES (100% TELETRABAJO),FERCHAU SPAIN,hace 2h,"['IBM MQ Series', 'MQ', 'WebSphere MQ', 'RabbitMQ']","Desde FERCHAU, buscamos un EXPERTO MQ SERIES para ampliar los equipos de trabajo de nuestra división de tecnología.-  Analizar los entornos para preparar la estrategia de implementación ejecución y validación en entornos productivos y no productivos. - Validación técnica para la actualización de entornos de preproducción y producción.- Proporcionar soporte en las actualizaciones.- Migración IBM MQ RabbitMQ- Instalar MQ en el nuevo servidor- Construir nuevo cluster- Migrar Queue Managers - Actualizar la instalación de MQ 100% TeletrabajoMuy Valorable nivel de InglésFERCHAU Spain es una empresa especializada en servicios de desarrollo, ingeniería avanzada y digitalización que colabora en múltiples sectores: Telecomunicación e IT, Finanzas, Energético, Industria-manufactura y Transporte entre otros.Formamos parte de FERCHAU GmbH, un grupo fuertemente consolidado, reconocido por ser uno de los líderes de la ingeniería alemana y con presencia en varios países de Europa. Nuestra organización está formada por más de 12.000 profesionales a nivel internacional.En España contamos actualmente con un equipo de 400 ingenieros y técnicos, con oficinas ubicadas en Madrid, Bilbao, Barcelona, Valencia y Sevilla.Seleccionamos a personas clave que quieran formar parte de una empresa estable, con amplia trayectoria y que además busquen afrontar nuevos retos para crecer junto a nosotros.",Madrid,Ingeniería, jornada completa,al menos 2 años,indefinido,o disponible,2024-01-29,https://www.infojobs.net/madrid/experto-mq-series-100-teletrabajo/of-i36cd8541cc4843a310832610ea2b10?applicationOrigin=search-new&page=5&sortBy=PUBLICATION_DATE,infojobs
TÉCNICO/A DE CAMPO REPARACIÓN DE CAJEROS AUTOMÁTICOS-VALENCIA,Temporing Galicia,hace 2h,[],FuncionesDesde Temporing seleccionamos a un/a Técnico/a de campo para reparaciónes de cajeros automaticos en Valencia.Se ofrece- Contrato eventual por ETT.- Horario  de 7:30 a 15:30h.,Valencia,"
Informática y telecomunicaciones -
													Hardware, redes y seguridad
", jornada completa,al menos 2 años,otros contratos,o disponible,2024-01-29,https://www.infojobs.net/valencia/tecnico-campo-reparacion-cajeros-automaticos-valencia/of-i35bef9ea754e50a2ddf390d1357a66?applicationOrigin=search-new&page=5&sortBy=PUBLICATION_DATE,infojobs
Analista Funcional.,Hipoges Iberia,hace 2h,"['Jira', 'Análisis', 'ETL Extract/Transform/Load', 'Metodologías ágiles', 'Testing', 'Software', 'SQL', 'analisis funcional', 'Definición de requerimientos de negocio']","Desde Hipoges, compañía líder en gestión de activos financieros, con presencia en 4 países y más de 1600 empleados y que gestiona activos por valor de más de 47.000 millones de euros, estamos buscando un perfil de Analista Funcional de desarrollo de sistemas para formar parte del equipo de desarrollo del software de gestión de la compañía.Funciones:Trabajar con negocio para detectar la necesidad y de esta forma convertirla en un análisis funcionalCrear las historias de usuario para reflejar los evolutivos/correctivos necesarios en la herramienta de gestión de incidencias (Jira Software)Seguir la evolución con el equipo de desarrolloRealizar testing de usuario¿Qué ofrecemos?Formar parte de un proyecto estable y en constante crecimientoBuen ambiente de trabajoDía extra de vacaciones en tu cumpleañosHorario de trabajo flexible y jornada intensiva los viernes y durante el verano.Actividades sociales corporativasTeletrabajoPaquete de salario competitivoPlan de bienestarRetribución flexibleSeguro médico",Madrid,Otras actividades, jornada completa,al menos 2 años,indefinido,o disponible,2024-01-29,https://www.infojobs.net/madrid/analista-funcional./of-icd8ec9d175406eb9566a7d380f7e8a?applicationOrigin=search-new&page=5&sortBy=PUBLICATION_DATE,infojobs
Data Engineer_remote,Social You,hace 18h,[],"Plants of Tomorrow (PoT) is a strategic program from our Client multinantional swiss, having the goal to empower their business to increase productivity, reduce costs and get insights for new innovation by using Artificial Intelligence and Machine Learning onsite and in real time.PoT ML-OPS culture of diversity, intellectual curiosity, problem solving, and innovation oriented towards helping solving business problems and openness is key to its success. Our team brings together people with a wide variety of backgrounds, experiences and perspectives.We encourage them to collaborate, think big and take risks in a blame-free environment.Key Responsibilities:Design and implement comprehensive data analytics solutions from start to finish, encompassing data modeling, data integration, and automation of various processes.Design,create and maintain optimal data pipelines softwareExtract and assemble large, complex data sets to be consumed directly in machine learning models or analytics applications.Proactively enhance and sustain the current data platform and ecosystem through actions such as system configuration, performance optimization, monitoring of data pipelines, and providing operational support to users.Key Values:Self-driven, autonomous, results oriented personEnjoys solving business and technical challengesPositive and joyful attitude including under stressAnalytical and practical mindsetCuriosity to explore, to learn new things and to challenge existing understandingsDesign solutions considering the context, the end result and all the intermediate elementsBuild solutions to be reliable, secure, sustainable and performant while remaining pragmatic in achieving the intermediate objectivesCourage to take risks, openness to admit errors and move forward by learning from errorsPerseverance in face of setbacksKey Skills:Expert knowledge of SQL, with the capacity to efficiently extract and collate meaningful information from high-volume sources and structuring it into a comprehensive and usable data set.Expertise in programming, with proficiency in at least one major general-purpose programming language, such as Java, C++, C#, or Python (preferred).Good understanding of both relational and NoSQL databases, big data platforms, and principles of database and data warehouse modeling.Strong analytic skills related to working with unstructured datasets.Build processes supporting data collection, cleansing and transformation, data structures, metadata, dependency and workload management.Working knowledge of message queuing, stream processing and highly scalable 'big data' data stores.Strong project management and organizational skills.Experience supporting and working with cross-functional teams in a dynamic environment.We are looking for a candidate with 5+ years of experience in a Data Engineer, DWH/ETL developer, BI engineer or similar analytics development role, who has attained a Graduate degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field. They should also have experience using the following software/tools:Experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc.Experience with big data toolsExperience with relational SQL and NoSQL databasesExperience working in the MLOps setup, deploying and scaling multiple products.Experience with major cloud data pipeline services like AWS ( EC2, EMR, RDS, Redshift....), GCP (DataFlow, DataPrep, BigQuery, GCS...)...Advanced/bilingual English essential, the interviews will be conducted in this language, other languages such as French or German are valuableWe offer:A professional career where you will set the limits, we will leave you and encourage you to growGross remuneration to be negotiated based on the expertise provided, we will not rule out any professional if their assessment is justified.100% teleworking",Madrid,DE_R, jornada completa,al menos 4 años,indefinido,o disponible,2024-01-29,https://www.infojobs.net/madrid/data-engineer_remote/of-i35167369554eba9920a704d15e5654?applicationOrigin=search-new&page=6&sortBy=PUBLICATION_DATE,infojobs
Ingeniero de Redes (AWS) -  Teletrabajo,"X25 INFORMÁTICA, S.L.",hace 2h,"['Ciberseguridad', 'Routing', 'Switching', 'Wifi Cisco', 'Troubleshooting', 'AWS', 'Ingeniero de red', 'Cisco', 'Networking', 'Network engineer']","Requerimos incorporar un Ingeniero de Redes (AWS). La persona seleccionada, entrará a formar parte del departamento de sistemas para uno de nuestros clientes multinacionales del sector asegurador.El cliente cuenta con un horario flexible de 8:00/9:00 a 17:00/18:00h Sus funciones serán las siguientes:-Se encargará de administrar la red a nivel nacional, instalación, configuración, troubleshooting,...-Dará soporte de último nivel, tareas de routing y switching, resolución de incidencias, implantación de nuevos proyectos.¿Qué ofrecemos?-Contrato Indefinido.-Salario acorde a la experiencia y conocimientos aportados.-Beneficios sociales.-Estabilidad laboral y crecimiento profesional.-Buen ambiente laboral.-Proyectos tecnológicamente punteros en clientes líderes de distintos sectores de actividad, Banca, Seguros, Energía, Construcción..., con los que llevamos colaborando muchos años gracias a la confianza que depositan en nosotros.-Incorporación inmediata en un equipo altamente cualificado.¿Por qué nosotros?Combinamos oportunidades y desarrollo con cercanía y flexibilidad.Nuestros empleados son personas, no números, por ello realizamos evaluaciones continuas de desempeño para detectar posibles mejoras y conseguir la satisfacción de cada uno de ellos.",Madrid,Servicios y tecnología de la información, jornada completa,al menos 3 años,indefinido,o disponible,2024-01-29,https://www.infojobs.net/madrid/ingeniero-redes-aws-teletrabajo/of-i547bc0922e4fa8b2783deeeea4418d?applicationOrigin=search-new&page=6&sortBy=PUBLICATION_DATE,infojobs
"Ingeniero de Telecomunicaciones Junior, con especialidad Telemática",Walters People,hace 2h,[],"Desde la división de IT de Walters People, estamos en búsqueda de un/a Ingeniero/a de Telecomunicaciones junior para uno de nuestros clientes, empresa líder del sector de las telecomunicaciones.La modalidad de teletrabajo es 50/50 y sus oficinas se encuentran ubicadas en Madrid.",Madrid,Ingeniería, jornada completa,no requerida,indefinido,o disponible,2024-01-29,https://www.infojobs.net/madrid/ingeniero-telecomunicaciones-junior-con-especialidad-telematica/of-i7851fb1936427d8d21f73cd9d652f9?applicationOrigin=search-new&page=6&sortBy=PUBLICATION_DATE,infojobs
Ingeniero/a de Requisitos Software (DOORS),EXCELTIC,hace 2h,"['Software', 'Informatica', 'IBM DOORS', 'Validación y verificación', 'Pruebas', 'Definición de Requisitos']","¿Quieres formar parte de la experiencia Exceltic, una empresa con estrategia centrada en las personas?¿Tienes inquietud por conocer el sector técnico y tecnológico?¡Ésta es tu oportunidad!Desde Exceltic, estamos buscando a un/a Ingeniero/a de requisitos Software para analizar, definir y especificar los requisitos de software de sistemas de control de tráfico aéreo y de defensa. Requisitos:Titulación: Ingeniería Técnica, Grado en Telecomunicaciones, Informática, Aeroespacial o similar.Experiencia de al menos 3 años en validación de SW.Experiencia definiendo requisitos de SW a través de DOORS / Jira.Nivel avanzado de inglés.Ofrecemos:1. Posición estable.2. Contrato indefinido.3. Plan de retribución flexible (seguro médico, ticket transporte, restaurante y guardería).4. Plan de formación.5. Horario flexible.Vivir la experiencia Exceltic significa:Participar en proyectos punteros en donde puedas desarrollar tus habilidades.Percibir un salario competitivo en función de aportación.Disfrutar de un plan de retribución flexible.Equilibrar tu vida personal y profesional.Formar parte de un equipo en el que te sientas escuchado/a y en donde puedas aportar nuevas ideas.Acerca de nosotros...Somos una empresa de servicios de ingeniería y consultoría tecnológica. Desarrollamos nuestra actividad en distintos sectores (Ferroviario, Aeronáutico, Espacio, Defensa, Energía, Automoción, Industria, Tecnologías de la Información y Telecomunicaciones). También proporcionamos servicios de auditoría técnica y formación especializada.A día de hoy contamos con una sólida cartera de clientes multinacionales en los distintos sectores y una de las ofertas más completas del mercado.En la familia Exceltic Somos más de 450 miembros y contamos con oficinas en Madrid, Barcelona y Bilbao y con proyectos en los cinco continentes. ¡Únete a nuestro equipo!",Madrid,NC, jornada completa,al menos 3 años,indefinido,o disponible,2024-01-29,https://www.infojobs.net/madrid/ingeniero-requisitos-software-doors/of-ifd919fb757406493045a6b6b353565?applicationOrigin=search-new&page=6&sortBy=PUBLICATION_DATE,infojobs
DevOps Engineer,FED IT,hace 2h,"['Java', 'BACKEND', 'TELETRABAJO', 'DEVELOPER', 'DESARROLLADOR', 'SOFTWARE', 'PROGRAMADOR', 'Springboot', 'Microservicios', 'DevOps']","Busco a un/a DevOps Engineer para formar parte del equipo de Desarrollo de uno de nuestros principales Clientes.Mi nombre es Tomer y soy Consultor especializado en la selección de Talento IT y el proceso es para incorporar en plantilla directa de uno de nuestros principales Clientes.¿Cómo será tu día a día? - Formarás parte del equipo de Desarrollo e Innovación del producto y servicios del cliente.- Te encargarás de aportar ideas y propuestas que hagan crecer el proyecto. - Participarás en el montaje de pipelines de integración y despliegue continuo.- Desarrollarás e implantarás templates y desarrollos devops para la automatización e incorporación de aplicaciones.- Desarrollarás el proyecto bajo metodologías Ágiles.¿Qué esperamos que nos aportes? - Sería ideal que tuvieras al menos 2-3 años de experiencia previa como DevOps Engineer.- Sería ideal si tuvieras experiencia en Montaje de pipelines de integración y despliegue continuo.- Será valorable si has podido desarrollar en groovy, java.- Se valorará muy positivamente la experiencia previa con las siguientes tecnologías: GitLab, Jenkins, nexus o artifactory, maven, gradl, docker (kubernetes, helm), prometheus.- Buscamos a una persona con alta Iniciativa e interés por la innovación, con pensamiento creativo y facilidad para el trabajo en equipo.¿Qué condiciones te proponemos? - Contrato Indefinido en plantilla de Cliente en un proyecto de continuidad y con las últimas tecnologías. - Podrás disponer de paquetes de Formación en Tecnología. - Tendrás un plan de carrera, seguimiento y evaluación anual de tu desarrollo profesional. - Contarás con un buen ambiente de trabajo, innovador, abiertos e inclusivos. - Modalidad de trabajo: 100% Remoto.",Madrid,TVF, jornada completa,no requerida,indefinido,30.000€ - 36.000€ Bruto/año,2024-01-29,https://www.infojobs.net/madrid/devops-engineer/of-i3d5bf1b2474127be3272062873045b?applicationOrigin=search-new&page=6&sortBy=PUBLICATION_DATE,infojobs
Técnico de Soporte de Software,OFIMATICA TSS SOCIEDAD LIMITADA.,hace 2h,"['SQL Server', 'Windows Server', 'MongoDB', 'Bases de datos', 'Seguridad informática', 'Soporte técnico', 'Sistemas operativos', 'Software', 'Resolución de problemas']","En Ofimática TSS estamos especializados en el desarrollo de software para sectores verticales muy concretos, siendo líderes destacados en dichos mercados. Contamos con más de 30 programas específicos y transversales para los sectores de Hoteles, Agencias de Viajes, Touroperadores y Receptivos, Restaurantes y Comercio principalmente, pero también para Autobuses, Estéticas y Centros de Formación, habiendo informatizado durante estos 40 años a más de 17.000 empresas de todos los tamaños.En 2019 nos incorporamos a la multinacional canadiense del software CSI (Constellation Software Inc) a través de su filial en Europa, la holandesa TSS (Total Specific Solutions), pasando a formar parte de un enorme grupo mundial con más 500 empresas y 15.000 trabajadores en todo el mundo, lo que garantiza aún más la continuidad y crecimiento de OFIMATICA.Buscamos un Técnico de Soporte de Software para unirse a nuestro equipo y brindar asistencia a nuestros clientes en el uso de nuestros productos y servicios. Asimismo, podrá impartir formaciones tanto de forma on-line como presencial y realizar instalaciones en el domicilio de los clientes. El candidato ideal tendrá experiencia en soporte técnico de software y habilidades de comunicación excelentes para ayudar a nuestros clientes a resolver problemas. Funciones y responsabilidades: Proporcionar soporte técnico a los clientes por teléfono y correo electrónico. Resolver problemas técnicos relacionados con el software y los servicios de la empresa. Colaborar con los equipos de desarrollo de software para identificar y resolver problemas complejos. Documentar y realizar un seguimiento de los problemas de soporte para garantizar la satisfacción del cliente. Realizar formaciones de nuestros programas a los clientes. Realizar instalaciones de forma remota e in situ a los clientes. Requisitos: Experiencia previa en soporte técnico de software. Conocimiento de sistemas operativos Windows y Windows Server. Conocimientos de bases de datos (SQL Server, MongoDB). Conocimientos básicos de redes y seguridad informática. Habilidades excepcionales de resolución de problemas y comunicación. Capacidad para trabajar de forma autónoma y en equipo. Se valorarán conocimientos básicos de contabilidad. Residir en la zona de Alicante.Ofrecemos:- Contrato de trabajo indefinido.- Jornada completa.- Incorporación inmediata.- Equipo necesario para realizar trabajo.- Salario en función de la experiencia.- Posibilidad 100% de teletrabajo, según necesidad.- Las tardes libres de dos viernes al mes.- Ambiente de trabajo agradable y colaborativo.- Beneficios corporativos.",Alicante/Alacant,Servicios y tecnología de la información, jornada completa,al menos 1 año,indefinido,18.000€ - 18.000€ Bruto/año,2024-01-29,https://www.infojobs.net/alicante-alacant/tecnico-soporte-software/of-ieea45ff42449b792199e36ed5857cb?applicationOrigin=search-new&page=6&sortBy=PUBLICATION_DATE,infojobs
Operador de Ciberseguridad (SOC),"GRUPO S21 SEC GESTIÓN, S.A.",hace 2h,[],"FuncionesActualmente tenemos una posición vacante en uno de nuestros principales SOC situado en la zona sur de Madrid. La persona que se incorpore realizará turnos de 8x5 en modelo presencial. Las principales responsabilidades serán:* Detección de amenazas en cliente.* Gestión /operación de la seguridad de distintos clientes (análisis y gestión de vulnerabilidades, monitorización de eventos de seguridad (SIEM), definición de reglas de correlación, análisis de fuentes de inteligencia externa, análisis de malware y APTs, auditorias técnicas de seguridad, y respuesta ante incidentes, etc.)* Análisis y aplicación de políticas de seguridad en elementos de seguridad perimetral de distintos clientes (FWs, WAFs, Proxies, etc.).* Interlocución técnica con cliente y terceras empresas.* Gestión y escalado de incidentes de seguridad.* Gestión de incidencias vía distintas herramientas de ticketing.* Gestión del proceso de gestión de peticiones, cambios, versiones y configuración de los elementos de seguridad gestionados.* Actualización de documentación técnica y procedimientos de actuación.Se ofreceEn S21sec nos consideramos disruptivos a la hora de organizar la forma en la que queremos trabajar. Es por ello que estamos continuamente innovando nuestras políticas, para permitir a los empleados disfrutar de una conciliación real de su vida laboral y familiar. Dinos lo que quieres, y lo encontrarás en S21sec. - ¿Te gustaría tener hasta 41 días libres al año?                                                              En S21sec puedes organizar tu jornada laboral para aumentar los 24 días de vacaciones que te ofrecemos. ¿Cómo?     -  Puedes distribuir tu jornada laboral anual y disfrutar así de un viernes libre al mes o lo que es lo mismo, de 12 viernes libres al año.      - Puedes elegir entre, Jornada intensiva de 7 horas al día de lunes a viernes los meses de Julio y Agosto, o seguir con la misma      jornada que venías haciendo y sumar entonces 5 días libres para disfrutar durante el año en curso. Si el puesto lo permite.- ¿Quieres maximizar tu salario neto?                                                                              En S21sec puedes decidir qué paquete de Retribución Flexible (Tarjeta restaurante, tarjeta transporte, cheques guardería y cheques formación) se adapta mejor a tus necesidades. - ¿Quieres seguir formándote y ampliar tus Certificaciones?                                            Es S21sec cuentas con un Plan de Formación Anual (basado en Certificaciones técnicas, Idiomas, formación en Soft Skills…) - ¿Te gusta compartir lo que aprendes?                                                                          En S21sec contamos con la participación voluntaria del programa de Speakers.  - ¿Quieres trabajar por Objetivos, claros y transparentes?                                           En S21sec contamos con una Política de Bonus Anuales, basados en KPIs. - ¿Quieres elegir cómo desarrollarte profesionalmente en S21sec?                                 Porque no todos somos iguales, en S21sec puedes decidir entre desarrollar tu carrera en Ciberseguridad apostando por la gestión de equipos o especializarte en una de las áreas técnicas con nuestros expertos. Si eres una persona apasionada por la Ciberseguridad, somos tu Compañía. ¡Te estamos esperando!",Madrid,"
Informática y telecomunicaciones -
													Hardware, redes y seguridad
", jornada completa,al menos 1 año,indefinido,18.000€ - 28.000€ Bruto/año,2024-01-29,https://www.infojobs.net/madrid/operador-ciberseguridad-soc/of-ie3c72c97174978a32993bbad2c4f98?applicationOrigin=search-new&page=6&sortBy=PUBLICATION_DATE,infojobs
Administrador/a de Monitorización (Teletrabajo),SANDAV,hace 2h,"['monitorizacion', 'Elasticsearch', 'Grafana', 'Prometheus', 'Kibana', 'BBDD', 'cloud', 'monitoring', 'despliegue', 'scripting']","Desde Sandav estamos buscando un perfil con experiencia en torno a 3 años que ya haya trabajado en algún proyecto desplegando/implementando herramientas de Monitorización y Observabilidad (Prometheus, Grafana, Elastic, Loki...)Precisamos alguien que se incorpore en proyecto con un importante organismo Público, proyecto de implementaciones y despliegues de las diferentes posibilidades que ofrece la tecnología.Formato en teletrabajo total excepto alguna reunión puntual, si fuera necesarioPrecisamos:- Experiencia lo más completa posible en el ciclo de posibilidades de esta tecnología de monitorización: desde la implantación y despliegue, hasta la creación de estrategia de alertado, correlación de eventos, obtención de métricas, scripting de sistemas, tratamiento de bases de datos y observabilidad en general.- En implantaciones de herramientas y despliegues de herramientas de monitorización en entornos on-premise o cloud- Experiencia en la configuración de herramientas de monitorización para el establecimiento de alertas, correlación de eventos y parametrización de acciones automáticas de remediación (scripting, etc.)- Experiencia en desarrollo de soluciones SW de tratamiento de Datos, BBDD, ObservabilidadSe ofrece:- Puesto estable y en teletrabajo total, puede haber alguna reunión puntual en Madrid.- Buen clima laboral- Banda Salarial a contemplar: entre ámbitos de 30.000 a entornos de los 38.000 aproximados. (siempre abierto a negociar)- Horario Habitual de oficina 8-9h a 17-18h¿Quieres trabajar en una empresa en la que sabemos cómo te llamas, nos preocupamos por tu bienestar y cuando necesitas algo te atendemos al momento?SANDAV es una empresa que basa la relación con sus empleados en la INTEGRIDAD, que en resumen quiere decir que CUMPLIMOS LO PROMETIDO.- Para más información: sandavteam.com",Madrid,RAH, jornada completa,al menos 3 años,indefinido,30.000€ - 40.000€ Bruto/año,2024-01-29,https://www.infojobs.net/madrid/administrador-monitorizacion-teletrabajo/of-i751e746eab4d549137d1d182209e05?applicationOrigin=search-new&page=6&sortBy=PUBLICATION_DATE,infojobs
Analista Programador SAS BASE,MINSAIT (Indra Producción de Software),hace 2h,"['SAS', '.NET', 'Visual Basic']","More digital. More human. More Minsait.Somos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible.Para un importante proyecto del sector público español, buscamos un perfil de Analista Programador/a SAS BASE, que haya trabajado previamente en entorno IBM z/OS - Windows y aporte experiencia en desarrollo de aplicaciones (Visual Basic, .NET u otros).En tu día a día, tus funciones serán:- Desarrollo de nuevas prestaciones evolutivas en las aplicaciones informáticas de soporte al tratamiento centralizado de la información en un importante cliente del sector público.- Contacto directo con el cliente.¿Qué esperamos por tu parte?- Experiencia mínima de tres años en desarrollo SAS/BASE- Experiencia previa en desarrollo de aplicaciones con Visual Basic/.NET.- Experiencia con entornos entorno IBM z/OS - Windows.- Se valorará experiencia previa como Data Analyst- Capacidad analítica y creatividad- Ganas de generar impacto positivo en el mundo.Motivos por los que te encantará ser un #Minsaiter:Conciliación y equilibrio: 32 días laborables de descanso, jornada intensiva en verano y teletrabajo.Carrera profesional y formación continua adaptada a tus necesidades y motivaciones.Contrato indefinido y retribución competitiva, seguro de vida y acceso a planes de retribución flexible.Programa de bienestar con acceso a una red de gimnasios, servicio de telemedicina en línea gratuita y otras ventajas.Minsait, technology for a more human future!Nuestro compromiso es promover ambientes de trabajo en los que se trate con respeto y dignidad a las personas, procurando el desarrollo profesional de la plantilla y garantizando la igualdad de oportunidades en su selección, formación y promoción ofreciendo un entorno de trabajo libre de cualquier discriminación por motivo de género, edad, discapacidad, orientación sexual, identidad o expresión de género, religión, etnia, estado civil o cualquier otra circunstancia personal o social.",Madrid,Desarrollo de programación, jornada completa,al menos 2 años,indefinido,o disponible,2024-01-29,https://www.infojobs.net/madrid/analista-programador-sas-base/of-ie0fe14fc8a4de68043f6d6ca252788?applicationOrigin=search-new&page=6&sortBy=PUBLICATION_DATE,infojobs
Programador/a Júnior Java Angular.,"Fundación Esplai, Ciudadania Comprometida",hace 2h,"['DAM ', 'DAW', 'ASIX', 'SMIR']","¿Quieres trabajar en una de las empresas de mayor crecimiento del sector IT en Reus, Tarragona?¡¡Esta es tu oportunidad!!En colaboración con T-Systems, hemos desarrollado un programa de inserción laboral con el que te ofrecemos realizar una formación inicial gratuita de 300 horas en Java/Angular, una vez superada, acceder a la fase de contrataciones.Aumenta tus conocimientos y empleabilidad en un sector puntero y creciente.¡¡No desaproveches la oportunidad de hacer carrera en un sector sólido y con futuro!! Si tienes alguna duda inscríbete y contactaremos contigo.",Reus,Desarrollo de programación, jornada parcial - tarde,no requerida,otros contratos,12.000€ - 18.000€ Bruto/año,2024-01-29,https://www.infojobs.net/reus/programador-junior-java-angular./of-i766fe6f7fa4579bd511c87cfa76fff?applicationOrigin=search-new&page=6&sortBy=PUBLICATION_DATE,infojobs
Teleoperador/a con Francés - TENERIFE,SEREM Consultoría Empresarial,hace 2h,[],"¿Buscas nuevas oportunidades? ¡Envíanos tu currículum y descubre el camino hacia el éxito! ¡Visita nuestro enlace de empleo en: [https://www.serem.com/language/es/empleo/envianos-tu-curriculum/] y comienza a construir tu futuro con nosotros!Estamos ampliando nuestro equipo de Service Desk incorporando a personas proactivas y con vocación por la atención al cliente para un proyecto de carácter internacional, centrado en ofrecer soporte técnico y soluciones IT a usuarios que presenten algún problema relacionado con el área informática.Precisamos:. Nivel alto/bilingüe de Francés (C1/C2).. Nivel medio de inglés (B2).. Flexibilidad horaria en turnos rotativos (L-D).. Ganas de desarrollarse en un ambiente profesional y multilingüe.Ofrecemos:. Jornada Completa.. Contrato indefinido.. Remuneración de 17.000 euros brutos anuales (+ Bonos de Productividad).. Formación inicial remunerada.. Posibilidad de crecer en una empresa de alcance internacional.¡No lo dudes y únete a nuestro equipo!",Santa Cruz De Tenerife,Servicios y tecnología de la información, jornada completa,no requerida,indefinido,17.000€ - 17.000€ Bruto/año,2024-01-29,https://www.infojobs.net/santa-cruz-de-tenerife/teleoperador-con-frances-tenerife/of-i2c778065e04afbbbac5c85aa7602b8?applicationOrigin=search-new&page=7&sortBy=PUBLICATION_DATE,infojobs
Software QA,FERCHAU SPAIN,hace 2h,"['Python', 'C', 'Labview', 'C#', 'QA', 'Software', 'LIN']","Somos FERCHAU, empresa especializada en servicios de Ingeniería e IT. Contamos actualmente con un equipo de 300 profesionales, con oficinas ubicadas en Madrid, Bilbao, Barcelona, Sevilla y Valencia.Seleccionamos a personas clave que quieran formar parte de una empresa estable, con amplia trayectoria y que además busquen afrontar nuevos retos para crecer junto a nosotros. ¿Te animas?Actualmente estamos en la búsqueda de un Software QA, en la província de Barcelona con la misión de controlar y asegurar la calidad del software instalado en motores electrónicos y unidades de control.Buscamos una persona que lleve a cabo las siguientes funciones:Validar el SW de nuevos desarrollos de SW de los motores electrónicos y unidades de control para asegurar su correcto funcionamiento a través de:· Estudio de especificaciones· Diseño de test y documentación· Preparación de tests y desarrollo de medios· Ejecución de tests y reporting· Estrecha colaboración con ingeniería de producto electrónicoRequisitos mínimos:· Título en ByD y/o experiencia demostrable en puestos similares.· 2 años de experiencia en puesto similar.· Sector Oil&Gas (petroquímica).· Inglés intermedio.· Manejo de herramientas informáticas (MS Office).· Manejo de herramientas de gestión documental.Conocimientos necesarios:· Programación: Lenguajes C Y C# y Python· Programación e instrumentación Labview· Equipos/instrumentación de laboratorio (data loggers, osciloscopios, DAQ's, etc)· Altium para interpretar y consultar esquemas y layouts· Protocolos de comunicación (CAN J1939, CANopen, LIN y UDS) y herramientas de diagnóstico LIN (ejemplo: CANoe, CANdela, BusMaster, similares)Será el match perfecto si además tienes conocimientos en:· ISO 26262.· Programación web (HTML, Javascript) y SQL.¿Qué ofrecemos?- Jornada completa: híbrida, 4 días presencial y 1 día en remoto.- 23 días de vacaciones.- 6 non working-days (días no laborables retribuidos).",Abrera,Electrónica de consumo, jornada completa,al menos 2 años,indefinido,33.000€ - 40.000€ Bruto/año,2024-01-29,https://www.infojobs.net/abrera/software-qa/of-icd356f7408499289bdeebbe933724a?applicationOrigin=search-new&page=7&sortBy=PUBLICATION_DATE,infojobs
Técnico de Sistemas y Cabinas de Almacenamiento (Turnos 24x7) 100% remoto,Abalia,hace 2h,"['Almacenamiento', 'Veritas Backup Exec', 'SAN', 'Hitachi']","En Abalia buscamos una persona con experiencia como Técnico de Sistemas y Cabinas de Almacenamiento (Turnos 24x7) 100% remoto para incorporar de manera estable en uno de nuestros grandes clientes.El proyecto está ubicado en Madrid y se trabajará en modalidad 100% teletrabajoRequisitos:- Necesario disponibilidad de realizar turnos de tarde y noche (24*7). - Gestionar cabinas almacenamiento FC sobre SAN- Gestion de Arrays- Gestion de LUN, Zonning cabinas-chasis, Veritas Volume, Manager/LVM, Veritas Cluster- Mirror y replicas de discos - Conocimientos de cabinas Hitachi.Si te encuentras en búsqueda de nuevos retos y proyectos innovadores. Abalia ¡Es tu lugar!Inscríbete en nuestra oferta, y anímate a trabajar de una manera diferente.",Tres Cantos,SAM, jornada completa,al menos 3 años,indefinido,24.000€ - 33.000€ Bruto/año,2024-01-29,https://www.infojobs.net/tres-cantos/tecnico-sistemas-cabinas-almacenamiento-turnos-24x7-100-remoto/of-i28dc4c116e424caeb6b56f5f9c3332?applicationOrigin=search-new&page=7&sortBy=PUBLICATION_DATE,infojobs
