titulo,empresa,fecha,herramientas,descripcion,ubicacion,presencialidad,funciones,jornada,experiencia,tipo_contrato,salario,solicitudes,fecha_scrapeo,url,portal
Auditor/a de sistema de Gestión integrado- Preferible con discapacid Madrid,"IMAN TEMPORING ETT, S.L.",Hace 17 horas (Actualizada),"Imprescindible: - Experiencia mínima demostrable 3 años. - Titulación universitaria o similar oficial. - Compromiso con la calidad, excelencia y aprendizaje y actualización de conocimientos.- Conocimiento de la legislación aplicable a dichas normas. - Vehículo propio para acudir al trabajo.Preferiblemente: - Certificado de discapacidad igual o superior al 33%.Si la oferta te parece interesante ¡No dudes en inscribirte!","Desde IMAN Temporing, empresa especializada en RRHH, queremos acompañarte en tu trayectoria laboral. Desde Getafe seleccionamos a un auditor/a interno/a preferiblemente con discapacidad con conocimientos de los estándares de calidad, medio ambiente, PRL y seguridad de la información, cuyas tareas son:  Auditar el sistema de Gestión Integrado.Elaborar el informe de auditoria dónde se indican las no conformidades y sus acciones correctivas. Comunicación a dirección de los resultados de las auditorias. Ofrecemos: Horario: L a J de 8:30 a 14:00h y 15:00 a 18:00, viernes de 8:00 a 15:00hSalario bruto/anual: 26k , dependiendo de valía mostrada por el trabajador.Contrato temporal por ETT para posteriormente pasar a plantilla. #Conectamoseltalentoconlasoportunidades",Madrid,,"['Analista-Programador .NET', 'Categoría o nivelTécnico']",,No se requiere experiencia,,Entre 20.000 y 25.000€ Brutos/anuales,5.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/auditora-de-sistema-de-gestion-integrado-preferible-con-discapacid/madrid/3003010/,infoempleo
Administrativo/a Informático/a de Industrialización Madrid,"IMAN TEMPORING ETT, S.L.",Hace 41 horas (Actualizada),"- Formación Profesional o Titulación Superior- Nivel avanzado de Excel- Muy valorable experiencia con Power Query- Muy valorable inglés B2Somos una empresa comprometida con la igualdad y no discriminamos por género, etnia, orientación sexual, diversidad funcional, edad u otros aspectos protegidos por la legislación. Éste proceso de selección se basa en criterios objetivos de  profesionalidad, méritos y capacidad.","Desde IMAN Temporing, empresa especializada en RRHH, queremos acompañarte en tu trayectoria laboral. #ConectamoseltalentoconlasoportunidadesDesde Iman Temporing Madrid, seleccionamos para importante Multinacional del Sector Industrial con fábrica situada en Móstoles, un perfil informático con experiencia en gestión de Base de Datos, aplicaciones Web y desarrollo de herramientas informáticas para proyecto aproximadamente de 1 año.Funciones:- Desarrollo y mantenimiento de herramienta de gestión de bases de datos sobre listas de materiales. - Vincular dichas bases de datos y automatizar lectura y enlaces entre documentos.Se Ofrece:- Contrato temporal de 6 meses + 6 meses- Jornada completa partida de Lunes a Jueves con una hora para comer. Los viernes jornada intensiva. Desde el 15 de Junio hasta el 15 de Septiembre, jornada intensiva de verano.- Salario bruto anual de 23.258 € + 10 €/día en concepto de ayuda comida",Madrid,,"['Administrador de Bases de Datos', 'Categoría o nivelTécnico']",,No se requiere experiencia,,Entre 20.000 y 25.000€ Brutos/anuales,9.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/administrativoa-informaticoa-de-industrializacion/madrid/3002834/,infoempleo
Ingeniero/a programador/a Firmware STM32 Viladecavalls (Barcelona),GRUPO CRIT,Hace 17 horas (Actualizada),"Experiencia y conocimientos en hardware Lectura de esquemas. Capacidad de puesta en marcha de equipos basados en microcontrolador con herramientas hardware (osciloscopio, analizador lógico, etc). Configuración a bajo nivel de periféricos. Protocolos de comunicación entre dispositivos (SPI, I2C, USB).Competencias personales Capacidad de aprender Trabajo en equipo Trabajar con especificaciones, siendo a la vez ser proactivo y asertivo. Seguimiento de proyectos Versatilidad Compromiso","Desde la oficina de Crit Sabadell, estamos seleccionando para importante empresa dedicada al diseño y comercialización de equipos de eficiencia energética ubicada en Viladecavalls, a un/a perfil Firmware.Experiencia en programación en C y C++ microcontroladores de 32 bits Entorno KEIL, microvision Micros STM32 Sistemas operativos en tiempo real, RTX o FreeRTOS Herramientas de debug y de traza (uLink Pro) Desarrollo en proyectos de trabajo en grupo usando repositorio (GitHub) Se valora la experiencia en unity test, calidad de software, confiabilidad, validación, code coverage, documentación de código.",Viladecavalls (Barcelona),Teletrabajo parcial,"['Programador', 'Ingeniero de Software C++', 'Programador Firmware', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 2 años de experiencia,Contrato Indefinido,Retribución sin especificar,7.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/ingenieroa-programadora-firmware-stm32/viladecavalls/3001384/,infoempleo
Ingeniero Aplicación Big Data y Gestión de Flotas San Javier (Murcia),GRUPO CRIT,Hace 17 horas (Actualizada),"Formación: Ingeniería Informática, Ciencias de la Computación o campo relacionado.Conocimientos de tecnologías en la nube, como AWS, Azure o Google CloudExperiencia previa en puesto similar: 3 añosExperiencia en el análisis de big data y uso de herramientas como Power BI, Hadoop, Spark, o similar.Experiencia en la creación de visualizaciones de datos utilizando Power BI o herramientas similares.Imprescindible Inglés B2 (hablado y escrito)Incorporación inmediataSe busca una persona con habilidades en resolución de problemas, capacidad para tomar decisiones informadas y excelentes habilidades de comunicación y capacidad para liderar equipos multidisciplinarios.","Grupo Crit multinacional de RRHH selecciona para importante empresa de referencia en el sector de diseño y fabricación de grupos electrógenos de Diesel y gas, ubicada en San Javier (Murcia), necesita incorporar a su plantilla personal Ingeniero de Aplicación Big Data y Gestión de FlotasFUNCIONES:Supervisar y gestionar la operación de la plataforma de gestión de flotas en la nube.Garantizar, identificar y abordar problemas técnicos y operativos en el rendimiento óptimo de la plataforma.Garantizar la seguridad y privacidad de los datos de la plataforma, cumpliendo con las regulaciones de seguridad de la empresa.Utilizar análisis de Big Data para extraer información y diseñar y desarrollar Dashboards y paneles de control utilizando Power BI.Colaborar con los equipos de desarrollo, ventas y atención al cliente.Participar en iniciativas de mejora para optimizar la plataforma.CARACTERÍSTICASContrato indefinidoSalario según experiencia y valíaJornada laboral : L-V de 7h a 15:20 horas",San Javier (Murcia),,"['Arquitecto Big Data', 'Categoría o nivelMando intermedio']",Jornada Completa,Al menos 3 años de experiencia,Contrato Indefinido,Retribución sin especificar,2.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/ingeniero-aplicacion-big-data-y-gestion-de-flotas/san-javier/3000477/,infoempleo
Customer Service Santa Cruz de Tenerife (Santa Cruz de Tenerife),Triangle Solutions RRHH,Hace 41 horas (Actualizada),"Para ser considerado/a para este puesto, deberás ser nativo/bilingüe en alemán y tener un nivel medio de inglés. También conocimientos informáticos a nivel usuario y disponibilidad para trabajar en turnos rotativos 24x7 (mañanas, tardes y noches).","Atención telefónica a usuarios en Call Center.Dar soluciones a los problemas operativos del área informática.Aplicar técnicas y herramientas informáticas que permitan la detección de los problemas que afecten al sistema informático.Control de incidencias a través de un sistema de tickets.Conseguir la satisfacción del usuario final con una atención marcada por paciencia, cortesía y profesionalidad.",Santa Cruz de Tenerife,,"['Técnico de Soporte', 'Categoría o nivelTécnico']",Jornada Completa,Experiencia de 1 año,Contrato De duración determinada,Retribución sin especificar,11.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/customer-service/santa-cruz-de-tenerife/2999640/,infoempleo
Ingeniero/a Informático/a (Desarrollador/a Back) Zaldibar (Vizcaya),Ananda Gestión ETT,Hace 41 horas (Actualizada),"Competencias mínimas:•	5+ años de experiencia demostrable en el framework ASP.NET (ideal 6.0)•	3+ años de experiencia con APIs REST.•	Programación acorde a principios SOLID, especialmente inyección de dependencias•	3+ años de experiencia en testing en backend•	3+ años de experiencia con Entity FrameworkSe valorará positivamente:•	Experiencia con arquitecturas de microservicios en la nube•	Experiencia en deployment de backends (Azure, IIS, etc.)•	Familiaridad con lenguajes de FrontEnd como HTML, JavaScript y CSS•	Conocimiento medio de inglés (B2) o superior•	Conocimientos del mundo de la máquina herramienta y la producción.","-HORARIO: L-V de 8-13/13:30-16:30-SALARIO: 25K-45K•	Cooperación con “product owner” para requerimientos y “user stories”•	Colaboración con front-end para diseñar comunicación y dependencias•	Diseño arquitectura y desarrollo de APIs REST•	Diseño arquitectura y desarrollo base de datos•	Documentación, testing y troubleshooting de APIs implementadas",Zaldibar (Vizcaya),,"['Analista-Programador', 'Arquitecto de Software', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 5 años de experiencia,Contrato Fijo discontinuo,Entre 25.000 y 45.000€ Brutos/anuales,1.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/ingenieroa-informaticoa-desarrolladora-back/zaldibar/2998573/,infoempleo
Técnico/a en Administración de Sistemas Alicante (Alicante),GRUPO CRIT,Hace 16 horas (Actualizada),"Experiencia de 3 años demostrable en Dpto. TIC/Sistemas. Formación Superior ASIR. Capacidad para trabajar en equipo. Buscamos una persona responsable, ordenada con los procesos y proactiva.","Desde Grupo Crit Multinacional seleccionamos técnico/a en Administración de Sistemas Informáticos para una empresa líder de la Industria Manufacturera a nivel nacional, situada en Alicante.FUNCIONES Tareas relacionadas al ámbito de la ciberseguridad. Soporte a los usuarios de la empresa.  Gestión y control del parque de impresoras y puestos de trabajo.  Administración de sistemas informáticos y usuarios. Tareas incluidas en el área del Networking.",Alicante,,"['Administrador de Sistemas', 'Técnico de Sistemas', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 1 año de experiencia,Contrato Indefinido,Retribución sin especificar,17.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/tecnicoa-en-administracion-de-sistemas/alicante/2997991/,infoempleo
Técnico de Soporte IT Inglés C1 Madrid (Madrid),K-INFOTEC,Hace 41 horas (Actualizada),".Experiencia de al menos dos años en labores de soporte a usuario con diferentes sistemas operativos (Windows, MacOS)..Experiencia en resolución de problemas de hardware y software..Conocimientos básicos de redes y protocolos..Capacidad para trabajar en un entorno multicultural y con equipos distribuidos globalmente.Nivel de inglés C1","En K-Infotec, estamos buscando un Técnico de soporte IT con buen nivel de ingles para incorporarse en uno de nuestro clientes de índole internacional.En K-Infotec estamos comprometidos con la excelencia en el servicio y la innovación tecnológica, y es por eso por lo que si cumples con los requisitos del puesto y te apasiona el mundo tecnológico y en parte audiovisual, es tu oportunidad.Qué funciones realizarás?. Brindar soporte técnico a los usuarios internos en cuestiones relacionadas con hardware, software, redes y audiovisuales.. Diagnosticar y resolver problemas técnicos.. Garantizar la satisfacción y productividad del usuario final a través de un excelente servicio de soporte.Se trata de un trabajo situado en la zona de Príncipe Pío de forma presencial.Lunes a Viernes de 11:00 a 20:00.",Madrid,,"['Técnico de Soporte', 'Categoría o nivelTécnico']",Jornada Completa,Experiencia de 2 años,Contrato Indefinido,Entre 21.000 y 23.000€ Brutos/anuales,18.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/tecnico-de-soporte-it-ingles-c1/madrid/2997889/,infoempleo
Analistas - Programadores departamento I+D+i Gijón (Asturias),Talento corporativo,Hace 41 horas (Actualizada),Experiencia de un par de años en proyectos de I+D+i,"Queremos incorporar varios perfiles de analistas y tecnólogos a nuestro departamento de I+D+i.Para potenciar nuestro equipo, incorporaremos 5 perfiles complementarios que nos permitan fortalecer nuestra estructura a nivel de análisis y programación.Buscamos perfiles con experiencia en proyectos relacionados con inteligencia artificial e IoT.A nivel técnico, valoraremos la experiencia trabajando con R y Phyton.",Gijón (Asturias),Teletrabajo parcial,"['Analista-Programador', 'Programador', 'Programador Python', 'Ingeniero Scraping', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 2 años de experiencia,Contrato Indefinido,Entre 22.000 y 30.000€ Brutos/anuales,15.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/analistas-programadores-departamento-idi/gijon/2997391/,infoempleo
"Informático Junior para soporte, turno de tarde. Getafe (Madrid)",Academia Santa María,Hace 12 horas (Actualizada),"Imprescindible Grado Medio, valorable Grado Superior ASIR.Imprescindible nivel alto demostrable de Office y Adobe Acrobat.Valorable conocimientos de Zoom, Vimeo, Photoshop, Illustrator, Premier y Canva.No se requiere experiencia, pero será valorable.",Se busca un informático que acabe de terminar sus estudios en Grado Medio o Superior en ASIR para dar soporte a una academia,Getafe (Madrid),,"['Técnico de Sistemas', 'Técnico de Soporte', 'Técnico de Microinformática', 'Categoría o nivelTécnico']",,No se requiere experiencia,,Retribución sin especificar,40.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/informatico-junior-para-soporte-turno-de-tarde/getafe/2997209/,infoempleo
TÉCNIC/A INFORMÁTIC/A Cervera (Lleida),"IMAN TEMPORING ETT, S.L.",Hace 17 horas (Actualizada),"Somos una empresa comprometida con la igualdad y no discriminamos por género, etnia, orientación sexual, diversidad funcional, edad u otros aspectos protegidos por la legislación. Éste proceso de selección se basa en criterios objetivos de  profesionalidad, méritos y capacidad.Requisitos: - Titulación en Informática, Ingeniería Informática o campo relacionado. - Experiencia previa en un puesto similar. - Conocimientos sólidos en sistemas operativos. - Conocimientos de redes, seguridad informática y administración de servidores.","Desde IMAN Temporing, empresa especializada en RRHH, queremos acompañarte en tu trayectoria laboral. #ConectamoseltalentoconlasoportunidadesDesde la Delegación de Tárrega estamos en busca de un técnico/a informático/a para desempeñar un papel fundamental en el mantenimiento y optimización de la infraestructura tecnológica de la empresa, garantizando el funcionamiento eficiente de los sistemas informáticos.  Responsabilidades: - Mantener y administrar la infraestructura de tecnología de la empresa, incluyendo servidores, redes, sistemas operativos y software. - Diagnosticar y resolver problemas técnicos, ofreciendo soporte a los usuarios internos en relación con hardware y software. - Gestionar la seguridad de la información y realizar copias de seguridad regulares para proteger los datos críticos de la empresa. - Colaborar con otros departamentos para identificar oportunidades de mejora y optimización de procesos a través de soluciones tecnológicas. - Evaluar y seleccionar nuevos equipos y software de acuerdo con las necesidades de la empresa. - Desarrollar y aplicar soluciones de Inteligencia Artificial para mejorar la eficiencia. - Colaborar con otros departamentos para identificar oportunidades de implementación de IA.",Cervera (Lleida),,"['Técnico de Redes', 'Técnico de Sistemas', 'Técnico de Hardware y Software', 'Categoría o nivelTécnico']",,Al menos 1 año de experiencia,,Entre 20.000 y 25.000€ Brutos/anuales,10.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/tecnica-informatica/cervera/2996641/,infoempleo
Informático/a Junior HELP DESK Sant Cugat del Vallés (Barcelona),GRUPO CRIT,Hace 17 horas (Actualizada),"Residencia en las cercanías de Sant Cugat.Perfil junior, a ser posible estudiante de programación. Gran conocimiento de Excel, nivel Avanzado.- CFGS en administración de sistemas informáticos en RED.- Experiencia realizando reporting.- Experiencia Ticketing- IT: conocimiento entorno tecnológico Contact Center- Experiencia demostrable en proyectos similares. (5 años)- Administración de sistemas informáticos- Administración de sistemas microinformáticos","Desde la oficina de GRUPO CRIT ETT, precisamos incorporar un informático/a junior HELP DESK para una importante empresa de CALL CENTER ubicada por los alrededores de Sant Cugat del vallès.REQUERIMOSNivel 839 o 35 horas semanales, nos adaptamos a sus necesidades.Horario: 13h a 20h o de 12h a 20h o de 11h a 20h con una hora para comer.Perfil junior, a ser posible estudiante y que se pueda compaginar los estudios.Gran conocimiento de Excel, nivel Avanzado.4 meses por ett y posteriormente será contratado por empresaLa formación se realizará en horario de mañana durante un par de semanas de manera presencia. COMPETENCIAS- Organizado.- Orientación al cliente.- Tenacidad.- Agilidad en la Toma de decisiones.- Habilidades interpersonales.- Habilidades para resolver problemas.- Habilidades para organizar: la planificación, la fijación de objetivos y análisis.- flexibilidad, creatividad, paciencia, persistencia.- Habilidades de trabajo en equipo.- Persona resolutivaCONOCIMIENTOS- Nivel alto Excel- Experiencia sql server- Experiencia Ticketing- Experiencia virtualización VMware- Administración sistemas Windows- Administración sistemas Linux- Experiencia en reporting- Idiomas : castellano, catalán nivel Nativo,Ingles- IT : conocimiento entorno tecnológico Contact Center- Administración de sistemas informáticosFUNCIONES DEL PUESTO Y RESPONSABILIDADES- Garantizar la calidad de la información.- Interlocución con proveedor externo ocasionalmente para el desarrollo del aplicativo.- Conocimiento estructura Jira- Asistencia remota- Apertura de incidencias- Gestión de usuarios (Directorio activo)- Monitorización de equipos- Apertura de incidencias- Acceso a datos.- Documentación de procedimientos",Sant Cugat del Vallés (Barcelona),,"['Técnico de Soporte', 'Categoría o nivelTécnico']",Jornada Parcial,Al menos 5 años de experiencia,Contrato Indefinido,Retribución sin especificar,13.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/informaticoa-junior-help-desk/sant-cugat-del-valles/2994039/,infoempleo
System Security Engineer Estados Unidos,THE WISE SEEKER S.L,Hace 32 horas (Actualizada),"-Due to the sensitivity of customer related requirements, U.S. Citizenship is required.-Candidate must have a master's degree in a specialized field plus a minimum of 4 years of applicable experience; or, a bachelor's degree in the specialized field plus 5 years of applicable experience; or, a bachelor's degree in any field with a minimum of 7 years of specialized experience.-Must have a Top Secret clearance.-Candidate will provide subject matter expertise in the system engineering technical review (SETR) process and through each adaptive acquisition framework pathway.-Must have thorough understanding of engineering principles and analyze a wide range of technology principles.-Must have familiarity with security requirements (e.g., anti-tamper, exportability features, supply chain risk management, secure design, defense-in-depth and cybersecurity implementation) required.-Must have DAU Courses such as ACQ 160 or ENG 260 or equivalent experience.-Must have a DoD Top Secret Clearance","At The Wise Seeker, we're seeking a System Security Engineer subject matter expert (e.g. anti-tamper, exportability features, and secure design) to represent program protection equities in the system engineering technical review (SETR) process to ensure adequate protection measures are incorporated across the entire customer portfolio and throughout each’s product’s lifecycle.The System Security Engineer (SSE) will provide Technology Protection and engineering assistance to an Army acquisition program. Apply scientific and engineering principles to identify security vulnerabilities in hardware, software, or firmware and develop risks and mitigations associated with these vulnerabilities. Position will play a key role in protecting critical technology and recommending appropriate countermeasures and program protection strategies.Tasks-Document program protection planning in the systems engineering plan (SEP), program protection plan (PPP) and system security plan (SSP).-Analyze and assist engineering and program management with program protection requirements analysis.-Provide technical support to identify vulnerabilities for CPI, mission critical functions, mission critical components, and recommend appropriate security controls.-Support system threat assessments, vulnerability identification, security risk analysis, and security test and evaluation.-Provide System Security Engineer subject matter expertise in meetings, system engineering technical review (SETR) process, and through each adaptive acquisition framework pathway.",Estados Unidos - Maryland,Teletrabajo parcial,"['Técnico de Seguridad', 'Técnico de Sistemas', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 4 años de experiencia,Contrato Indefinido,Retribución sin especificar,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/system-security-engineer/maryland/3014259/,infoempleo
Senior .NET Developer Otros Paises,THE WISE SEEKER S.L,Hace 32 horas (Actualizada),"-­ Have 6+ years of experiences-Bachelor‘s degree in computer science or equivalent-Proficiency in C# and .NET Core framework-Good communication in English-Be hardworking, passionate and possess a can­do attitude.-Be good at critical, logical thinking and problem­solving skill-Be assertive, honest and trustworthy-Happy to deal with the opposite and different ideas-Be a good team player and patient person-Be a self­learner","At The Wise Seeker, we are looking for a Senior .NET Developer to work with one of our clients located in Vietnam: a company that helps brands and retailers effortlessly retouch product images for e­commerce to boost their online sales and reduce returns.Working Location: HanoiSector: IT  Tasks-We are looking for a great .NET developer who is proficient with C#. -Your primary focus will be on developing back­end components, data layers and API. You will ensure that these -components and the overall application are robust, scalable and easy to maintain. -You will coordinate with the rest of the team working on different layers of the infrastructure -Therefore, a commitment to collaborative problem solving, sophisticated design, and quality product is important.-Architect and build robust, scalable, highly available and reliable systems-Building reusable components and front­end libraries for future use-Proactively research for solutions to problems-Work closely with the client teams and product design team to iterate quickly on new features and experiments-Participate in design discussions, code reviews and group brainstorming sessions-Deliver high quality code following best practices for better performance, user experience, and reusability-Troubleshoot existing code bases, hunt down nasty bugs and refactor code",Otros Paises - Hanoi,,"['Programador .NET', 'Ingeniero de Software C#', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 6 años de experiencia,Contrato Indefinido,Retribución sin especificar,1.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/senior-net-developer/hanoi/3014229/,infoempleo
Beca soporte informático. Santa Cruz de Tenerife,TECH España,Hace 30 horas (Actualizada),"-  Estar cursando en la actualidad una formación en Ciclo Medio, Superior o Grado Universitario en Informática, electrónica o formaciones afines.- Disponibilidad de realizar un convenio en prácticas con su centro de estudios (Requisito imprescindible).","1.	Reparación de equipos portátiles.2.	Formación como Soporte IT (Se les formaría en entornos de trabajo basados en Tickets-JIRA).3.	Resolución de incidencias (Windows, Android, PowerShell, Mac, Azure...).4.	Resoluciones presenciales y remotas con usuarios.5.	Formación en conocimientos básicos de Datos (SQL).",Santa Cruz de Tenerife,,['Categoría o nivel'],Jornada Completa,No se requiere experiencia,Contrato Prácticas,Entre 5.000 y 6.000€ Brutos/anuales,1.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/beca-soporte-informatico/santa-cruz-de-tenerife/3014563/,infoempleo
Software Developer Irún (Guipúzcoa),Iddtek,Hace 17 horas (Actualizada),"- Grado en Ingeniería con especialidad Informática, Electrónica o similar.- Al menos 1 año de experiencia en desarrollo software.- Experiencia y/o conocimientos con Java, JavaScript, HTML5 + CSS, PHP, AngularJS, PostgreSQL.- Se valorará experiencia y/o conocimientos de Hibernate, Asterisk, Ubunt, Linux Scripting, Virtualización, ActionScript, Flex.- Inglés B1.","Seleccionamos un/a Desarrollador/a de Software para una importante empresa electrónica ubicada en Irún. Se trata de una posición estable con buenas posibilidades de desarrollo profesional.Funciones:- Desarrollo de Software según las indicaciones del Responsable de Desarrollo.- Elaboración de la documentación técnica asociada al desarrollo.- Análisis y resolución de bugs en productos software desarrollados.- Proponer innovaciones tanto en el desarrollo de los proyectos asignados como en otros proyectos de la unidad de negocio.() Importante: al inscribirte en la oferta, recibirás un correo solicitando la aceptación de la normativa de protección de datos RGPD, así como invitándote a rellenar un breve cuestionario para completar tu perfil.",Irún (Guipúzcoa),,"['Analista-Programador', 'Arquitecto de Software', 'Categoría o nivelTécnico']",Jornada Indiferente,Entre 1 y 10 años de experiencia,Contrato Indefinido,Retribución sin especificar,14.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/software-developer/irun/2992189/,infoempleo
Ingeniero/a de Sistemas con especialización en Ciberseguridad Madrid,Eurocontrol,Hace 41 horas (Actualizada),"•	Título en Ingeniería de Sistemas, Informática, carreras afines o experiencia compatible.•	Mínimo de 5 años de experiencia en roles similares.•	Dominio del idioma inglés (hablado y escrito).•	Profundos conocimientos en redes, servidores, y sistemas.•	Experiencia en gestión y implementación de medidas de ciberseguridad. Firewalls Fortinet.•	Dominio de soluciones de backup y VMware.•	Habilidad para administrar sistemas basados en Linux.•	Fuertes habilidades de comunicación y atención al usuario.•	Capacidad para trabajar de forma autónoma y en equipo.Deseable (pero no esencial):Certificaciones en Ciberseguridad, VMware, Linux o redes.Experiencia en empresas del ámbito de la inspección reglamentaria y las certificaciones.Se valorará persona con discapacidad.","•	Diseñar, implementar y administrar redes, servidores y sistemas, garantizando la máxima disponibilidad y rendimiento.•	Asegurar la infraestructura tecnológica de la empresa contra posibles amenazas, estableciendo y manteniendo protocolos de ciberseguridad.•	Implementar y supervisar soluciones de backup, garantizando la integridad y disponibilidad de la información.•	Administrar entornos virtualizados con VMware y gestionar la implementación y mantenimiento de sistemas basados en Linux.•	Brindar soporte técnico de alto nivel a los usuarios, atendiendo sus requerimientos de manera eficiente y amigable.•	Actualizarse constantemente sobre tendencias en ciberseguridad y tecnologías emergentes para mantener a la empresa a la vanguardia.•	Participar en proyectos interdepartamentales, ofreciendo expertise técnico y garantizando la correcta implementación de soluciones tecnológicas.",Madrid,Teletrabajo parcial,"['Responsable de Seguridad', 'Analista en Ciberseguridad', 'Categoría o nivelMando intermedio Técnico']",Jornada Completa,Al menos 5 años de experiencia,Contrato Indefinido,40.000€ Brutos/anuales,9.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/ingenieroa-de-sistemas-con-especializacion-en-ciberseguridad/madrid/2991314/,infoempleo
Técnico/a Informático/a de Campo Barcelona (Barcelona),"IMAN TEMPORING ETT, S.L.",Hace 17 horas (Actualizada),- Experiencia previa en puesto similar de al menos 1 año.- Conocimiento de redes y reparación de máquinas/electrónica.- Carnet de conducir y vehículo propio.,"Desde IMAN Temporing, empresa especializada en RRHH, queremos acompañarte en tu trayectoria laboral. #ConectamoseltalentoconlasoportunidadesDesde la oficina de Molins de Rei precisamos incorporar un/a técnico informático de campo para trabajar en una empresa cliente ubicada en Barcelona dedicada a la gestión de salas de juego.Funciones: mantenimiento y reparación de máquinas, electrónica y redes en las diferentes salas gestionadas por el cliente.",Barcelona,,"['Técnico de Microinformática', 'Categoría o nivelTécnico']",,Al menos 1 año de experiencia,,Entre 20.000 y 25.000€ Brutos/anuales,9.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/tecnicoa-informaticoa-de-campo/barcelona/2990921/,infoempleo
PROGRAMADOR/A APLICACION MÓVILES ANDROID Lleida (Lleida),"IMAN TEMPORING ETT, S.L.",Hace 40 horas (Actualizada),"Si la oferta te parece interesante ¡No dudes en inscribirte!- Tres años de experiencia.-  Kotlin, Android.-  Habituado a trabajar en proyectos colaborativos (Git).- Trabajar con servicios externos (API).- Personalidad proactiva y resolutiva. - Experiencia de 3 años trabajando en proyectos Android.-  Criterio y sensibilidad por el diseño de Interfaz.-  Buen nivel de inglés.- iOS-  Metodologías Ágiles-  Plataformas Cloud: Azure, AWS, etc.","Desde IMAN Temporing, empresa especializada en RRHH, queremos acompañarte en tu trayectoria laboral. #ConectamoseltalentoconlasoportunidadesDesde IMAN Temporing Lleida estamos seleccionando programadores/as de aplicaciones móviles nativas principalmente para dispositivos Android (Kotlin) con más de 3 años de experiencia.FUNCIONES:- Participación en proyectos de innovación, fabricación de productos innovadores,integración de dispositivos, uso de inteligencia artificial aplicada a los productos.",Lleida,,"['Programador Android', 'Programador iOS', 'Categoría o nivelTécnico']",,Al menos 3 años de experiencia,,Entre 20.000 y 25.000€ Brutos/anuales,4.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/programadora-aplicacion-moviles-android/lleida/2990733/,infoempleo
TÉCNICO/A DE IT Oricain (Navarra),"IMAN TEMPORING ETT, S.L.",Hace 17 horas (Actualizada),"- FP2/grado medio de informativa o telecomunicaciones. - Fundamentos de redes, electrónica y arquitecturas de red. - Inglés B1. - Carnet de coche y vehículo propio. - 1 año de experiencia. Si la oferta te parece interesante ¡No dudes en inscribirte!","Desde IMAN Temporing, empresa especializada en RRHH, queremos acompañarte en tu trayectoria laboral. #ConectamoseltalentoconlasoportunidadesOfrecemos trabajar en una empresa del sector eólico. Funciones a realizar: - Implantación y mantenimiento de aplicaciones de Software.- Recepción y resolución de incidencias IT.- Mantenimiento de la estructura informática. - Instalación y mantenimiento de equipos Hardware.",Oricain (Navarra),,"['Técnico de Soporte', 'Técnico de Hardware y Software', 'Categoría o nivelTécnico']",,No se requiere experiencia,,Entre 20.000 y 25.000€ Brutos/anuales,13.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/tecnicoa-de-it/oricain/2989508/,infoempleo
