titulo,empresa,fecha,herramientas,descripcion,presencialidad,funciones,jornada,experiencia,tipo_contrato,salario,fecha_scrapeo,portal,ubicacion,url
System Lead (Automoción),OXIGENT Technologies,09/02/2024,"ISO, DOORS","¿Te interesaría seguir desarrollándote como System Lead en una compañía líder de ingeniería global dedicada al sector industrial? Esta empresa proporciona la cadena de valor completa para crear desarrollar productos y servicios innovadores y tecnológicos.Desde Oxigent Technologies seleccionamos un/a SYSTEM LEAD para participar en un proyecto de automoción ubicado en Tarragona.¿Cuáles serán tus funciones principales?Actúar como interfaz con el Cliente y los diferentes grupos de proyecto (SW, HW, MECH...)Trabajar junto con los miembros del equipo de todos los departamentos: ingenieros de pruebas, ingenieros de software, ingenieros de hardware, ingenieros mecánicos, ingenieros de gestión de requisitos, etc.Seguimiento con los diferentes grupos para asegurar un análisis, trazabilidad, implementación y prueba completos de los requisitos del cliente, los requisitos del sistema y la arquitectura del sistema.Liderar, planificar, coordinar y controlar las actividades de prueba de requisitos del sistema, diseño arquitectónico del sistema y integración del sistema.Para ello, ¿qué vas a necesitar?Min. 5 años de experiencia en el sector automoción.Experiencia en gestión de equipos.Nivel avanzado de inglés.Conocimientos en desarrollo de productos/sistemas de alta tensión para vehículos eléctricos.¿Qué te ofrecemos?Contratación indefinida a través de Oxigent.Salario acorde a la experiencia aportada (entre 45.000 - 52.000 euros brutos anuales).Horario flexibleCheque Formación para desarrollarte en las áreas profesionales que más te interesen.Seguro médico privado.Retribución flexible aplicable a seguro médico, restaurante, transporte, guardería y formación.Aplicación de acceso a gimnasios y actividades deportivas en toda España con descuentos.¡Y muchos otros beneficios!",,Ingenieros/Industria,Jornada completa,Más de 5 años,Indefinido,42.000 €-54.000 € Bruto/año,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/system-lead-automocion-remoto/iso-doors/rf-3b4c156e120a1386e94b
System Lead (Automoción),OXIGENT Technologies,09/02/2024,"ISO, DOORS","¿Te interesaría seguir desarrollándote como System Lead en una compañía líder de ingeniería global dedicada al sector industrial? Esta empresa proporciona la cadena de valor completa para crear desarrollar productos y servicios innovadores y tecnológicos.Desde Oxigent Technologies seleccionamos un/a SYSTEM LEAD para participar en un proyecto de automoción ubicado en Tarragona.¿Cuáles serán tus funciones principales?Actúar como interfaz con el Cliente y los diferentes grupos de proyecto (SW, HW, MECH...)Trabajar junto con los miembros del equipo de todos los departamentos: ingenieros de pruebas, ingenieros de software, ingenieros de hardware, ingenieros mecánicos, ingenieros de gestión de requisitos, etc.Seguimiento con los diferentes grupos para asegurar un análisis, trazabilidad, implementación y prueba completos de los requisitos del cliente, los requisitos del sistema y la arquitectura del sistema.Liderar, planificar, coordinar y controlar las actividades de prueba de requisitos del sistema, diseño arquitectónico del sistema y integración del sistema.Para ello, ¿qué vas a necesitar?Min. 5 años de experiencia en el sector automoción.Experiencia en gestión de equipos.Nivel avanzado de inglés.Conocimientos en desarrollo de productos/sistemas de alta tensión para vehículos eléctricos.¿Qué te ofrecemos?Contratación indefinida a través de Oxigent.Salario acorde a la experiencia aportada (entre 45.000 - 52.000 euros brutos anuales).Horario flexibleCheque Formación para desarrollarte en las áreas profesionales que más te interesen.Seguro médico privado.Retribución flexible aplicable a seguro médico, restaurante, transporte, guardería y formación.Aplicación de acceso a gimnasios y actividades deportivas en toda España con descuentos.¡Y muchos otros beneficios!",,Ingenieros/Industria,Jornada completa,Más de 5 años,Indefinido,42.000 €-54.000 € Bruto/año,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/system-lead-automocion-remoto/iso-doors/rf-3b4c156e120a1386e94b
Team Lead,PSS,09/02/2024,"Java, C++, Linux, SVN","¿Te apetece formar parte de una compañía en pleno crecimiento? ¿Y trabajar rodeado del mejor TALENTO en proyectos realmente innovadores? En PSS es posible y nos gustaría conocerte.Actualmente estamos buscando un Team Lead para incorporarse a un proyecto novedoso del sector aereo para nuestra Software Lab.Para ello, ¿Qué necesitamos?- Experiencia en gestión y liderazgo de equipos- Conocimientos de JAVA (Versión 6) y C++ (estándar C++98)- Conocimientos de herramientas de compilación y depuración en C++ sobre Linux (gcc, make, gdb)- Conocimientos de Linux mediante terminal (bash shell, ssh)- Repositorio SVN- Conocimientos de la herramienta JIRAY llegados a este punto... ¿qué te ofrecemos?- Contrato indefinido (proyecto estable).- Horario flexible + 3 meses de jornada intensiva en verano.- Modalidad de trabajo remota.- Salario en función de la experiencia aportada.- Plan de carrera y formación continua- Retribución flexible: te brindamos diversos beneficios sociales, tales como seguro médico privado, ticket restaurante, ticket guardería y/o ticket transporte, para que disfrutes de un completo bienestar.- Campaña de referenciados: Si tienes algún amigo del sector que crees que encaja en nuestras vacantes, tráelo a trabajar contigo, ¡tendrás un premio!PSS comprometida con la Igualdad.",,Jefe de Equipo,Jornada completa,3-5 años,Indefinido,42.000 €-48.000 € Bruto/año,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/team-lead-remoto/java-c-linux-svn-jira-bash-sshh/rf-19dc1e25322f33cc9042
Technical Salesforce Consultant - SSC,Page Personnel,05/02/2024,Salesforce,"Perfil buscado (Hombre/Mujer)Purpose of the role is to provide technical oversight to ensure smooth functioning and optimisation for the Salesforce Platform. A Technical Analyst will work as a bridge between the business needs and the technical capabilities of the platform working closely with Functional team, Salesforce Vendors, Support Specialists and Developers. As part of CC service delivery team, the technical analyst will need to ensure that the Salesforce platform (from a non-functional perspective) is used effectively through the available features and to support its business goals.Key Responsibilities:• Work with 3rd party vendors to define best development practices and ensure they are being followed.• Involved in technical assessment of solutions & peer review of code from other developers.• Help, where required, the technical support team to analyse production incidents and to reach a solution.• Co-ordinate with testing, security, functional consultants to ensure Salesforce solutions adhere to functional, non-functional & Security requirements.• Troubleshoot and resolve technical issues related to Salesforce solutions.• Stay up to date with the latest Salesforce features, technologies, and trends.• Work with technical team for adaption of new & decommission of outgoing salesforce features.• Provide support to Salesforce users when necessary.• Engage with Page´s Vendor management team on optimum license utilisation.• Collaborate with other Page IT teams to integrate Salesforce with chosen enterprise systems.• Provide technical guidance and maintenance for backup and deployments.• Multinational company  |Experience as Technical Salesforce Consultant,  at least 3 years.• Bachelor´s degree in computer science, Information Technology, or a related field• 3+ years of experience as a Salesforce Technical or a similar role• Proven experience in developing and implementing Salesforce solutions.• Strong understanding of Salesforce architecture, development methodologies, and best practices• Proficient in Salesforce development tools and technologies (Apex, Visualforce, Salesforce CLI)• Excellent understanding of data modelling and data migration principles• Excellent communication and collaboration skills• Ability to work independently and as part of a team.• Ability to learn new technologies quickly.• Desired Skills:• Salesforce Certified Administrator certification.• Salesforce Certified Platform App Builder certification• Experience with Salesforce Lightning Experience (LEX) development• ExperiencewithSalesforceintegrationtechnologiesPageGroup SSC• Join into a multinational company.• Career path.• Flexibility.• Benefits.",,Consultor,Jornada completa,3 años,Indefinido,,2024-02-10,tecnoempleo,Barcelona - España,https://www.tecnoempleo.com/technical-salesforce-consultant-ssc-barcelona/salesforce/rf-197a1b1be2adb357bb42
Tecnico/a de seguridad y comunicaciones,TRS Staffing Solutions,09/02/2024,"seguridad, Fortinet, Tic, Linux","➡ En TRS Staffing Solutions, buscamos un/a Técnico de Seguridad y comunicaciones con 3 años de experiencia para trabajar en un proyecto que nuestro cliente tiene en Sevilla📌Requisitos Imprescindibles✔Firewall: bastionado completo, revisión continua de reglas, objetos y visibilidades en firewall (Fortinet)..✔Antivirus y EDR: revisión continua de configuración y alertas, despliegues (Sophos Central/EDR).✔Gestión de las políticas de seguridad en entornos Linux/HPUX: creación, control, revisión, actualización, pruebas y despliegue de políticas.✔Actualización de servidores (Windows, Linux, HPUX): aplicación de parches, revisión y corrección en caso de incidencias.✔Seguridad TIC en el desarrollo: revisión y asesoramiento en diseño seguro de aplicaciones (aplicación de OWASP y otras guías del CCN-Cert).📌REQUISITOS VALORABLES:Certificaciones NSE de Fortinet.Uso de las herramientas de ticketing más frecuentes en la JA: redmine, naos, Jira.Conocimiento de las herramientas de apoyo a la ciberseguridad : Sistema de Gestión de Eventos de Seguridad (SIEM), Sistema de Prevención de Pérdida de Datos (DLP), Gestión de Identidades (IM), Análisis de Vulnerabilidades, Control de Acceso a Red (NAC), etc. 📌TITULACION REQUERIDA:           Titulación universitaria en algunas de las siguientes ramas: informática, telecomunicaciones, industrial.Ciclo Formativo Grado Superior rama IT.📆 Modalidad de trabajo: 50% en oficina, 50% teletrabajo⏰ Horario: 08:00 - 15:00 (3 días)08:00 - 18:00 (2 días, 1 hora para comer)📔 Tipo de contrato: indefinido",,Administrador,Jornada completa,3 años,Indefinido,,2024-02-10,tecnoempleo,Sevilla - España,https://www.tecnoempleo.com/tecnico-seguridad-comunicaciones-sevilla/seguridad-fortinet-tic-linux-edr-/rf-f4921fe9d247c37ef143
"Tester Jenkins, Cucumber, Pytest, Python",PANEL Sistemas Informáticos,08/02/2024,"jenkins, cucumber, pytest, bdd","¿Quieres formar parte del #TeamPanel? Ampliamos nuestro equipo y nos gustaría contar contigo para formar parte de un proyecto en el que estamos trabajando integrados en cliente. Llevamos la innovación y la excelencia tecnológica en nuestro ADN, y trabajamos con actitud positiva y con pasión para alcanzar nuestro objetivo: ayudar a nuestros clientes en su proceso de transformación.Estamos buscando incorporar al equipo dos personas con experiencia en AUTOMATIZACIÓN DE PRUEBAS para un importante proyecto en el que estamos trabajando de la mano con uno de nuestros grandes clientes en el área de Air Traffic Management (ATM).¿En qué nos gustaría que tuvieras experiencia? Al menos 3 años de experiencia en:- Automatización de pruebas:--> Jenkins--> Cucumber--> Pytest--> BDD- Control de versiones (Git, bitbucket).- Diseño y ejecución de pruebas no funcionales (Pruebas de estabilidad, rendimiento, etc).- Jira para la gestión documental y el uso de datos.- Sistemas de virtualización docker.- Bases de datos (no relacionales y relacionales).- Programación con Python, Shell-scripting, Bash.- Conocimientos Air Traffic Management.-INGLÉS: comunicación fluida (B2)* DISPONIBILIDAD PARA VIAJAR: Ocasionales (2 o 3 viajes a lo largo del año), viajes en Europa)Lugar de trabajo:100 % Remoto¿Qué ofrecemos?Formación continua.Impulsaremos tu Talento con un Plan de Desarrollo Profesional y Programas de Tutoría individualizada.Completo Programa de formación que incluye desde programas de especialización técnica hasta idiomas, habilidades en gestión de proyectos, metodologías ágiles y certificaciones. Tanto on-line como presencial.Políticas de conciliación como el Teletrabajo en modo full-remote; jornada continua los viernes y en verano, flexibilidad horaria, días de permiso en navidad, y facilidades para la movilidad geográfica de los empleados.Beneficios sociales como retribución flexible, complemento al 100% de bajas médicas, condiciones especiales en seguro médico privado o Tarjeta VISA empleados.Nuestra empresa es hoy referencia en entorno Cloud, participando en varios proyectos de investigación a nivel europeo, y con muchos más proyectos sobre los que podrás diseñar una trayectoria profesional a largo plazo. Aplica y nos conoceremos",,Tester,Jornada completa,2 años,Indefinido,,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/tester-jenkins-cucumber-pytest-python-remoto/jenkins-cucumber-pytest-bdd-p/rf-aeed17ca921f13d9e444
Tester SQA,Invoin,08/02/2024,"ISTQB, Jira, Testlink, Redmine","En Grupo INVOIN necesitamos incorporar a nuestra plantilla un Tester SQA para participar en un proyecto estable de ingeniería de tráfico y transporte en Madrid con modalidad híbrida de teletrabajo.Características del puestoSalario competitivo y acorde a experiencia aportada.Contratación indefinida, estabilidad y crecimiento profesional.Posibilidad de adquirir beneficios sociales.Incorporación y formación en proyectos desafiantes y tecnológicamente avanzados con un alto componente de Innovación y Desarrollo.Desarrollo de carrera profesional.Agradable ambiente de trabajo, integrándose en un equipo joven.Dedicación:Horarios flexibles (entrada entre las 8h y las 9h).Jornada completa.Jornada intensiva los viernes y en agosto.Teletrabajo: modalidad híbrida.Festivos adicionales a las vacaciones: según calendario.Ubicación: Alcobendas (Madrid).RequisitosCertificación ISTQB CORE Foundation Level o experiencia acreditativa similar.Capacitación para la ejecución de pruebas manuales Disponibilidad para viajar.Adaptabilidad al horario de pruebas.Conocimientos de Jira, Testlink, Redmine.Conocimiento de base de datos y lenguaje SQL.y realización de informes.Pruebas en entornos de Windows con aplicaciones nativas y aplicaciones WEB.Alto nivel de inglés.Alta implicación en el proyecto.",,Tester,Jornada completa,3 años,Indefinido,,2024-02-10,tecnoempleo,Madrid (Híbrido),https://www.tecnoempleo.com/tester-sqa-hibrido/istqb-jira-testlink-redmine-sql-base-datos/rf-d70d1270e20b1392d241
Téc. Inst. empalmador fibra óptica,Proyectos de Comunicaciones y Redes,09/02/2024,"fibra, optica","Empresa Proyectos de Comunicaciones y Redes, S.L. precisa incorporar en su equipo a un /a Técnico/a Instalador/a empalmador de fibra óptica (instalaciones, confeccionado UTP y F.O., fusión de F.O. y cableado estructurado).Se precisa experiencia en la materia. Buscamos persona responsable, con disponibilidad a viajar así como para trabajar en mañana, tarde o noche.",,Técnico de Mantenimiento,Jornada completa,2 años,Indefinido,,2024-02-10,tecnoempleo,Barcelona (Presencial),https://www.tecnoempleo.com/tec-inst-empalmador-fibra-optica-presencial/fibra-optica/rf-a89e1562a27de32d1f42
Técnico Ciberseguridad L3,HAYS,02/02/2024,"Ciberseguridad, SIEM","En HAYS, estamos colaborando con una empresa en la que protege los datos dando la garantía de seguridad y fiabilidad. Tiene un CPD propio, en un edificio bunkerizado y con unas defensas perimetrales garantizadas. Una seguridad física con protocolos de acceso, escaneos biométricos y vigilancia. Una conectividad rápida y dedicada. Y un equipo multidisciplinar muy top. Las mejores referencias: nuestros clientes. Actualmente, estamos buscando un/a técnico de ciberseguridad L3, para incorporarse a su equipo. ¿Cuáles son las funciones? - Este perfil irá de la mano del responsable del área de seguridad de Bullhost, realizando funciones tales como: - Redacción de informes, presentación y defensa interna y con clientes.  - Gestión y evaluación de incidentes de seguridad de sus clientes.  - Desarrollo de planes de contingencia y de respuesta.  - Pen-testing.   ¿Cuáles son los requisitos?     - Se requieren conocimientos demostrables en ciberseguridad y soluciones SOC y SIEM, mínimo 4 años.  - Conocimientos en generación de playbooks de respuesta, gestión de incidentes, investigación de alertas de seguridad.  - Experiencia de trabajo en blue team.  - Conocimientos en Red Team.  - Capacidad de redacción de informes, su presentación y defensa.  - Capacidad de interacción con cliente.  ¿Qué ofrecemos? - Proyecto estable.  - Modalidad hibrida. - Ubicación: Leioa (Bizkaia).   - Contrato con HAYS.   Estamos esperando perfiles como el tuyo, apasionados con la tecnología y que quiera enfrentarse a un nuevo reto. Si es tu caso, inscríbete en la oferta para que podamos contarte más",,Ciberseguridad,Jornada completa,3-5 años,Indefinido,,2024-02-10,tecnoempleo,Bizkaia (Híbrido),https://www.tecnoempleo.com/tecnico-ciberseguridad-l3-hibrido/ciberseguridad-siem/rf-6a9c1f50b2fe33be7343
Técnico Soporte a Usuarios,Pulsia Technology,09/02/2024,jira,"Pulsia Technology es un proveedor global de servicios de Consultoría, Informática y Telecomunicaciones con más de 20 años de experiencia en el sector y con una visión muy creativa, humana e innovadora de la gestión del talento, proyectos y tecnologías.En Pulsia tenemos un Equipo de Dirección de Empresa dinámico y renovado con gran Expertise y know-How;Nuestra visión y misión es colmar las expectativas de nuestros clientes y empleados a través de un servicio de excelencia, donde nuestros proyectos globales son un medio de superación y realización personal y profesional para nuestros equipos y el resto de stakeholders.Si quieres crecer en conocimientos y habilidades TIC, tienes un lugar con nosotros.En Pulsia el techo profesional te lo pones tú, estamos en constante búsqueda de personas con talento tecnológico, con gran capacidad de autogestión de gestión de equipos y proyectos, y de generar valor útil a nuestros clientes.Estamos buscando un puesto de técnico experimentado en Soporte a Usuarios. Requisitos mínimos:• Titulación mínima exigida: Ciclo superior o Formación profesional de segundo grado, Bachiller o equivalente.• Acreditar experiencia de 1 año o más, de atención en puesto similar.• Atender las incidencias planteadas por los usuarios.• Realizar el diagnóstico de los problemas mediante su correcta cualificación administrativa siguiendo el procedimiento dictado por el árbol de decisión.• Mantener al día la información de las consultas e incidentes que han tratado (base de datos del conocimiento).• Seguir la resolución de las incidencias recibidas hasta su total solución.• Resolver las incidencias presencialmente.• Informar periódicamente al Coordinador/a.• Empatía y trato amable con los usuarios/as.• Mantener los niveles de prestación de servicio y cumplimiento de SLA’s establecidos para el servicio, siguiendo la planificación y calendario del mismo.• La atención al usuario se realizará en castellano y en valenciano.Si te motiva el puesto y consideras que se ajusta a tu perfil profesional no dudes en apuntarte!!",,Soporte Técnico,Jornada completa,2 años,Indefinido,16.000 €-18.000 € Bruto/año,2024-02-10,tecnoempleo,Valencia - España,https://www.tecnoempleo.com/tecnico-soporte-usuarios-valencia/jira/rf-2143ne241890dpc480be
Técnico de Calidad Industria Alimentaria,SOLA DE ANTEQUERA,02/02/2024,Calidad,"Estamos en busqueda  de un/a Técnico/a de calidad en procesos en Industria Alimentaria, con un perfil analitico/a, metódico/a y resolutivo/a y que a la vez tenga  experiencia mínima de un año en controles térmicos (autoclaves), preparación de líquido de gobierno, PH, controles de cierre de envases (vidrio y latas), Rayos X y vacío. Si estás en busqueda de una oportunidad  para potenciar tus habilidades y avanzar en tu trayectoria profesional, este puesto está diseñado para ti.¡No dudes en postularte hoy mismo y únete al equipo!",,Sistemas de Calidad,Jornada completa,1 año,Indefinido,,2024-02-10,tecnoempleo,Antequera -  Málaga - España,https://www.tecnoempleo.com/tecnico-calidad-industria-alimentaria-malaga/calidad/rf-0afe1d542276c3cb7e48
Técnico de DATOS,arelance,09/02/2024,"SQL, Excel, Xml, base de datos","Perfil profesional con experiencia en manejo de datos maestros. Importante aportar experiencia en las siguientes tareas:* Creación y mantenimiento de datos maestros para los distintos sistemas, base de datos, por ficheros XML o Excel. * Realización de pruebas de calidad en los distintos entornos de venta. * Extracción de información de distintas bases de datos. * Seguimiento de informes de control de ventas. * Gestión de peticiones de servicio del cliente. Es imprescindible aportar conocimientos de SQL y Excel,  y tener orientación al servicio, al cliente, con dotes comunicativas, gran capacidad de trabajar en equipo y capaz de planificarse y organizarse el trabajo bajo unas directrices dadas, entregando en tiempo y forma las tareas asignadas. Se valorarán conocimientos de XML. Se valorarán conocimientos de inglés.",,Administrativo,Jornada completa,2 años,Indefinido,,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/tecnico-datos-remoto/sql-excel-xml-base-datos/rf-6f7017e6020e53d71c4b
Técnico de DATOS,arelance,09/02/2024,"SQL, Excel, Xml, base de datos","Perfil profesional con experiencia en manejo de datos maestros. Importante aportar experiencia en las siguientes tareas:* Creación y mantenimiento de datos maestros para los distintos sistemas, base de datos, por ficheros XML o Excel. * Realización de pruebas de calidad en los distintos entornos de venta. * Extracción de información de distintas bases de datos. * Seguimiento de informes de control de ventas. * Gestión de peticiones de servicio del cliente. Es imprescindible aportar conocimientos de SQL y Excel,  y tener orientación al servicio, al cliente, con dotes comunicativas, gran capacidad de trabajar en equipo y capaz de planificarse y organizarse el trabajo bajo unas directrices dadas, entregando en tiempo y forma las tareas asignadas. Se valorarán conocimientos de XML. Se valorarán conocimientos de inglés.",,Administrativo,Jornada completa,2 años,Indefinido,,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/tecnico-datos-remoto/sql-excel-xml-base-datos/rf-6f7017e6020e53d71c4b
Técnico de DATOS,arelance,09/02/2024,"SQL, Excel, Xml, base de datos","Perfil profesional con experiencia en manejo de datos maestros. Importante aportar experiencia en las siguientes tareas:* Creación y mantenimiento de datos maestros para los distintos sistemas, base de datos, por ficheros XML o Excel. * Realización de pruebas de calidad en los distintos entornos de venta. * Extracción de información de distintas bases de datos. * Seguimiento de informes de control de ventas. * Gestión de peticiones de servicio del cliente. Es imprescindible aportar conocimientos de SQL y Excel,  y tener orientación al servicio, al cliente, con dotes comunicativas, gran capacidad de trabajar en equipo y capaz de planificarse y organizarse el trabajo bajo unas directrices dadas, entregando en tiempo y forma las tareas asignadas. Se valorarán conocimientos de XML. Se valorarán conocimientos de inglés.",,Administrativo,Jornada completa,2 años,Indefinido,,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/tecnico-datos-remoto/sql-excel-xml-base-datos/rf-6f7017e6020e53d71c4b
Técnico de DATOS,arelance,09/02/2024,"SQL, Excel, Xml, base de datos","Perfil profesional con experiencia en manejo de datos maestros. Importante aportar experiencia en las siguientes tareas:* Creación y mantenimiento de datos maestros para los distintos sistemas, base de datos, por ficheros XML o Excel. * Realización de pruebas de calidad en los distintos entornos de venta. * Extracción de información de distintas bases de datos. * Seguimiento de informes de control de ventas. * Gestión de peticiones de servicio del cliente. Es imprescindible aportar conocimientos de SQL y Excel,  y tener orientación al servicio, al cliente, con dotes comunicativas, gran capacidad de trabajar en equipo y capaz de planificarse y organizarse el trabajo bajo unas directrices dadas, entregando en tiempo y forma las tareas asignadas. Se valorarán conocimientos de XML. Se valorarán conocimientos de inglés.",,Administrativo,Jornada completa,2 años,Indefinido,,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/tecnico-datos-remoto/sql-excel-xml-base-datos/rf-6f7017e6020e53d71c4b
Técnico de Organización,Michael Page,08/02/2024,mejora continua,"Perfil buscado (Hombre/Mujer)   Buscamos perfil responsable y enfocado a resultados, que sepa trabajar en equipo y tenga capacidad de análisis y sea proactivo. Dependiendo del Jefe de Ingeniería, la persona seleccionada tendrá que ser capaz de liderar el diseño, desarrollo y ejecución de los procesos necesarios para industrializar nuevos productos, así como mejorar los existentes, con el objetivo de cumplir con los estándares de calidad, costos y plazos establecidos dentro de la organización. Esta persona sera responsable de implementar estrategias de mejora continua en coordinación con otros departamentos. • Tecnico de Organización y Mejora con posibilidad de crecer internamente|Consolidado grupo industrial multinacional fabricante de componentes • Grado y/o Máster/Ingeniería Técnica y/o Superior/Licenciatura  • Experiencia de al menos 1 año en puesto similar • Conocimientos en herramientas y metodología de mejora continua • Conocimientos en organización industrial • Inglés B2 • Disponibilidad para trabajar diariamente en los alrededores de Mondragón   Grupo industrial de referencia y presencia internacional fabricante de componentes para la industria   Oportunidades reales de carrera y desarrollo profesional en grupo industrial líder, estable y con proyecto de desarrollo",,Ingenieros/Industria,Jornada completa,1 año,Indefinido,30.000 €-42.000 € Bruto/año,2024-02-10,tecnoempleo,Gipuzkoa - España,https://www.tecnoempleo.com/tecnico-organizacion-gipuzkoa/mejora-continua/rf-44b71228f2d5c3814248
Técnico de Sistemas,Iberlayer,09/02/2024,"Linux Debian, Devuan, FeeBSD, Proxmox","Requisitos imprescindibles:Experiencia como Administrador de Sistemas Linux Debian, Devuan, FeeBSD, y Proxmox.  Conocimientos y experiencia en scripting: Perl y Bash.  Experiencia en implementación y gestión de redes, direccionamiento IP, switches y firewalls.Cyberseguridad, conocimiento genérico horizontal: hacking, malware, herramientas de seguridad, etc...Capacidad para colaborar eficazmente en problemas multidisciplinarios.Nivel medio de inglés (hablado y escrito).Persona de buen carácter y con gran capacidad de hablar en público con soltura.  Requisitos valorables:Conocimientos de correo electrónico: Postfix, Microsoft365Conocimientos de otros lenguajes: PHP, C, PythonConocimientos de HW",,Ciberseguridad,Jornada completa,2 años,Indefinido,33.000 €-42.000 € Bruto/año,2024-02-10,tecnoempleo,Madrid (Presencial),https://www.tecnoempleo.com/tecnico-sistemas-presencial/linux-debian-devuan-feebsd-proxmox-perl-bash-p/rf-152415d9920a53b11249
Técnico de Sistemas,Page Personnel,09/02/2024,"Windows, SQL","Perfil buscado (Hombre/Mujer)- Administración de Redes en entornos Windows (infraestructura de red, incluyendo firewalls)- Administración de Servidores Windows (físicos y virtuales)- Implementar y mantener medidas de seguridad- Respaldo y Recuperación de Datos- Soporte Técnico a usuarios finales en entornos windows- Conocimientos en SQL- Certificaciones en tecnologías de Microsoft, son altamente ventajosas.• Técnico de Sistemas|Administrador de SistemasTítulo Universitario en informática, Ingeniería de Sistemas, FP o grado superior en campo relacionado. 2 años de experiencia.Buen nivel de inglés.prestigioso bufete de consultoría económica, fiscal y legal con sede en Mallorca,Ofrecemos:- Horario abierto de entrada y salida entre de 8:00 a 9:00 - 17:00-18:00 (una hora para comida)- Retribución en base a la valía del candidato.- Contrato indefinido a jornada completa- Promoción interna y mejora en las condiciones en función de la capacidad.- Formar parte de un equipo con más de 80 empleados con buen ambiente de trabajo.- Formación a cargo de la empresa- Posibilidad de parking en la propia empresa- Beneficios sociales varios.- Vacaciones a libre elección",,Técnico de Sistemas,Jornada completa,2 años,Indefinido,30.000 €-33.000 € Bruto/año,2024-02-10,tecnoempleo,Baleares - España,https://www.tecnoempleo.com/tecnico-sistemas-baleares/windows-sql/rf-2f151b26722a837a4448
Técnico de Sistemas,Page Personnel,09/02/2024,"Windows, SQL","Perfil buscado (Hombre/Mujer)- Administración de Redes en entornos Windows (infraestructura de red, incluyendo firewalls)- Administración de Servidores Windows (físicos y virtuales)- Implementar y mantener medidas de seguridad- Respaldo y Recuperación de Datos- Soporte Técnico a usuarios finales en entornos windows- Conocimientos en SQL- Certificaciones en tecnologías de Microsoft, son altamente ventajosas.• Técnico de Sistemas|Administrador de SistemasTítulo Universitario en informática, Ingeniería de Sistemas, FP o grado superior en campo relacionado. 2 años de experiencia.Buen nivel de inglés.prestigioso bufete de consultoría económica, fiscal y legal con sede en Mallorca,Ofrecemos:- Horario abierto de entrada y salida entre de 8:00 a 9:00 - 17:00-18:00 (una hora para comida)- Retribución en base a la valía del candidato.- Contrato indefinido a jornada completa- Promoción interna y mejora en las condiciones en función de la capacidad.- Formar parte de un equipo con más de 80 empleados con buen ambiente de trabajo.- Formación a cargo de la empresa- Posibilidad de parking en la propia empresa- Beneficios sociales varios.- Vacaciones a libre elección",,Técnico de Sistemas,Jornada completa,2 años,Indefinido,30.000 €-33.000 € Bruto/año,2024-02-10,tecnoempleo,Baleares - España,https://www.tecnoempleo.com/tecnico-sistemas-baleares/windows-sql/rf-2f151b26722a837a4448
Técnico de soporte IT (Inglés alto),Marlex,08/02/2024,"soporte, Jira","Desde Marlex estamos colaborando con una compañía internacional de dispositivos médicos, líder en el desarrollo de nuevos productos y educación médica en ortopedia. ¿Cuál será tu misión en la empresa?- Soporte IT- Recepción de llamadas, soporte telefónico a usuarios de forma remota apertura y resolución de incidencias- Herramienta ticketing- Diagnosticar, solucionar y documentar correctamente problemas comunes de software y hardware- Instalar, configurar, administrar y monitorear dispositivos de usuario final, como estaciones de trabajo, computadoras portátiles y otros dispositivos móviles con diferentes sistemas operativos.- Asistencia y mantenimiento de la herramienta informática de trabajo- Soporte informático para la gestión del almacén (escáner e impresoras)- Configuración de accesos VPN- Participación en proyectos de IT- Reporte a EMEA en Múnich, AlemaniaAl perfil seleccionado se le ofrece:- Banda salarial entre 25-30K- Contrato fijo- Horario: lunes a jueves 8:30 a 17:45. Viernes de 8:00 a 15:00- Modelo híbrido con 50% de teletrabajo- Jornada intensiva en verano (Desde julio/agosto a septiembre)- 26 días de vacaciones al año- Lanzadera desde Plaza Castilla / Moncloa- Crecimiento y desarrollo profesionalRequisitos:Se requiere- Nivel alto de inglés- Experiencia en puestos similares de 1-2 años- Alto sentido práctico y resolutivo- Buenas habilidades de planificación, organización y comunicación- Orientación de servicio para sus clientes internos.- Persona proactiva y con ganas de aprender- Aprox. 2 o 3 viajes anuales- Al menos 1 año de experiencia en puestos similares- Habilidades comunicativas- Persona resolutiva y con orientación de servicio del usuario- Conocimiento en Microsoft Windows a nivel configuración- Conocimiento de redes y Wifi",,Soporte Técnico,Jornada completa,2 años,Indefinido,,2024-02-10,tecnoempleo,Madrid (Híbrido),https://www.tecnoempleo.com/tecnico-soporte-it-ingles-alto-hibrido/soporte-jira/rf-d80e102cd204d31c3d47
